"ID","Name","Rating","Degree","Specialization","Review_Date","Review_Text","Word_Count","Sentiment_Label","Sentiment_Score"
1,"Mukesh Yashvanth",3.4,"B.Sc","Animation & Multimedia","2025-02-13","One of my senior got placed in Couch Base for 34LPA CTC another got placed in Unilever for 42LPA but this was for CSE and related branches while few of my seniors got decent package from mechanical branch too 8-12L in companies like Mercedes a Euler  ~ Anonymous, B.Tech FFCS. A study who is facing difficulty to study more, can take less number of credits and it will reduce the burden of the students. And the student can also Complete the entire course in 4 years instead of 5years  by taking maximum no of credits.  ~ Supriya R Patil, B.Sc + M.Sc Campus Life in Vit is simply magnificent.All types of facilities are provided inside the campus including sport complex and restaurants.The girls to boys ratio in Mechanical engineering is surprisinly high of about 1:7.  ~ Mithilesh Angal, B.Tech",139,"Neutral",1.3
2,"Saamya Kunhibi",3.6,"B.Sc","Animation & Multimedia","2025-02-13","I don’t like how the student and faculty ratio is 60-40  ~ Praveen Kumar, BCA Lot of exams yearly 3 exams in a semester 2-3 quiz and 1-2 DA  ~ Kartik Navnath Narare, B.Tech Water is really bad. 750+ TDS. It makes you go bald. Really.  ~ Piyush Prajapati, B.Des",50,"Neutral",1.3
3,"Punya Oswal",4,"B.Tech","Electrical And Electronics Engineering","2025-02-12","The university is vast to have best experience  Best faculty crew providing best source of education  Security guards of universities are bad.",22,"Neutral",1.3
4,"Soumyajit Ghosal",5,"B.Tech","Computer Science and Engineering","2025-02-12","Transportation is very bad making it difficult for students  The infrastructure of the university gives you a perfect learning environment  The faculties are highly qualified to train the students ",29,"Neutral",1.3
5,"GDivya",3.3,"B.Tech + M.Tech","Software Engineering","2025-02-12","The library is the best part out of the university  Too many rules and regulations to be followed  Arrear fees is 6000 per subject which is too much",28,"Positive",1.7
6,"Review guru",3.9,"B.Tech","Computer Science and Engineering","2025-02-11","Attendance minimum criteria is seventify percentage  The College has many hostel buildings and enough space  The nature of college and greenery is the best part",25,"Positive",2
7,"Srikar Tandulwadikar",3.5,"B.Tech","Electronics And Instrumentation Engineering","2025-02-10","The Academics is very good and opportunities for internship is also good  The Mess In the food is ok not good as your home but fine Rules are totally strict you cannot go after 9 outside the campus",38,"Neutral",1.3
8,"Mohammed Shahid",3.9,"B.Tech + M.Tech","Computer Science and Engineering + Data Science","2025-02-09","I didn't like the rule of freshers cannot go out of campus for first 3 months Faculty was excellent.They taught us very well Teaching methods were excellent.All modern methods were used",31,"Positive",2.7
9,"Avinash",3.6,"B.Tech","Mechanical Engineering","2025-02-09","Curriculum was equivalent to IIT standard. There is nothing to dislike.Every thing was good  Yes I can say ragging was prevalent.That is the negetive ",24,"Neutral",1.3
10,"jyotinadh",4,"B.Tech + M.Tech","Computer Science & Engineering","2025-02-09","All I can say you need to adjust with the new environment  Flexibility to choose timetable, faculty,courses .Due to this flexibility we can opt out desired timings for classes Exam pattern that we have 2 cats like mids and one fat like finals",43,"Positive",1.7
11,"Dipansh Bareja",4,"B.Tech","Artificial Intelligence & Machine Learning","2025-02-07","Mentorship for students.here each students are provided with one mentorship(faculty) so they can take their help in any academics. I most thing I dislike is the events are going happen a lot only during one week before exams If we had a backlog we need to pay 60000 per subject for one special subject soft skills we need to pay 12000 and to clear this backlogs we must stay in university hostels which cost around 30000 hostels ",77,"Positive",1.7
12,"College Ninja",3.6,"B.Tech","Electronics & Computer Engineering","2025-02-07","Hostel timings.due to these we can't go to library whenever wewant library is closed at 7:30 pm and hostels doesn't allow any one outside after 8:50 pm Clubs and the events conducted by them... The faculty are well educated and have experience",42,"Positive",2
